URL,Start Timecode,End Timecode
https://www.youtube.com/watch?v=I_bKcljIzU4,00:22:02.988,00:22:33.226
https://www.youtube.com/watch?v=h6gBU7BnQeY,00:01:52.766,00:02:12.480
https://www.youtube.com/watch?v=h6gBU7BnQeY,00:02:26.012,00:02:39.210
https://www.youtube.com/watch?v=h6gBU7BnQeY,00:06:21.235,00:06:38.442
https://www.youtube.com/watch?v=h6gBU7BnQeY,00:07:03.168,00:07:13.024
https://www.youtube.com/watch?v=h6gBU7BnQeY,00:07:45.601,00:07:53.453
https://www.youtube.com/watch?v=h6gBU7BnQeY,00:08:09.324,00:08:16.341
https://www.youtube.com/watch?v=g1KQ9SCKkVk,00:01:03.138,00:01:15.165
https://www.youtube.com/watch?v=g1KQ9SCKkVk,00:02:17.302,00:02:24.985
https://www.youtube.com/watch?v=g1KQ9SCKkVk,00:02:49.372,00:03:04.572
https://www.youtube.com/watch?v=g1KQ9SCKkVk,00:03:56.353,00:04:17.232
https://www.youtube.com/watch?v=g1KQ9SCKkVk,00:04:44.292,00:04:50.973
https://www.youtube.com/watch?v=g1KQ9SCKkVk,00:05:03.835,00:05:33.066
https://www.youtube.com/watch?v=g1KQ9SCKkVk,00:05:44.090,00:06:00.960
https://www.youtube.com/watch?v=g1KQ9SCKkVk,00:07:55.045,00:08:01.559
https://www.youtube.com/watch?v=g1KQ9SCKkVk,00:09:02.693,00:09:12.715
https://www.youtube.com/watch?v=lCB-BmRJsLs,00:02:22.433,00:02:34.946
https://www.youtube.com/watch?v=lCB-BmRJsLs,00:04:04.202,00:04:45.702
https://www.youtube.com/watch?v=lCB-BmRJsLs,00:04:59.048,00:05:21.779
https://www.youtube.com/watch?v=lCB-BmRJsLs,00:06:12.246,00:06:33.101
https://www.youtube.com/watch?v=lCB-BmRJsLs,00:06:35.186,00:06:50.201
https://www.youtube.com/watch?v=lCB-BmRJsLs,00:08:53.241,00:09:03.668
https://www.youtube.com/watch?v=lCB-BmRJsLs,00:09:39.745,00:09:48.713
https://www.youtube.com/watch?v=lCB-BmRJsLs,00:09:52.258,00:10:03.519
https://www.youtube.com/watch?v=lCB-BmRJsLs,00:10:57.323,00:11:06.499
https://www.youtube.com/watch?v=lCB-BmRJsLs,00:11:28.813,00:11:39.031
https://www.youtube.com/watch?v=lCB-BmRJsLs,00:11:48.207,00:12:01.971
https://www.youtube.com/watch?v=lCB-BmRJsLs,00:14:17.940,00:15:02.776
https://www.youtube.com/watch?v=lCB-BmRJsLs,00:15:10.492,00:15:20.294
https://www.youtube.com/watch?v=lCB-BmRJsLs,00:16:12.846,00:16:54.346
https://www.youtube.com/watch?v=lCB-BmRJsLs,00:19:38.677,00:19:47.227
https://www.youtube.com/watch?v=lCB-BmRJsLs,00:19:51.815,00:20:11.001
https://www.youtube.com/watch?v=lCB-BmRJsLs,00:21:25.033,00:21:34.835
https://www.youtube.com/watch?v=lCB-BmRJsLs,00:21:44.845,00:21:55.063
https://www.youtube.com/watch?v=lCB-BmRJsLs,00:22:00.277,00:22:19.254
https://www.youtube.com/watch?v=lCB-BmRJsLs,00:24:35.432,00:24:46.067
https://www.youtube.com/watch?v=lCB-BmRJsLs,00:25:49.673,00:26:00.517
https://www.youtube.com/watch?v=30SmyLqZ1vw,00:00:24.399,00:00:36.703
https://www.youtube.com/watch?v=30SmyLqZ1vw,00:01:39.057,00:01:47.816
https://www.youtube.com/watch?v=30SmyLqZ1vw,00:02:58.720,00:03:06.853
https://www.youtube.com/watch?v=WBOtQvqWpcg,00:00:56.449,00:01:03.798
https://www.youtube.com/watch?v=WBOtQvqWpcg,00:07:38.280,00:07:44.626
https://www.youtube.com/watch?v=qe9QSCF-d88,00:06:22.843,00:06:30.857
https://www.youtube.com/watch?v=qe9QSCF-d88,00:08:35.243,00:08:43.424
https://www.youtube.com/watch?v=qe9QSCF-d88,00:10:43.971,00:10:55.992
https://www.youtube.com/watch?v=qe9QSCF-d88,00:11:37.732,00:11:45.245
https://www.youtube.com/watch?v=id4YRO7G0wE,00:16:29.488,00:16:37.997
https://www.youtube.com/watch?v=snUI2AML9NQ,00:06:34.821,00:06:48.649
https://www.youtube.com/watch?v=snUI2AML9NQ,00:07:09.292,00:07:21.919
https://www.youtube.com/watch?v=YPvP_C4qy0E,00:02:28.000,00:02:37.800
https://www.youtube.com/watch?v=YPvP_C4qy0E,00:03:09.000,00:03:19.400
https://www.youtube.com/watch?v=YPvP_C4qy0E,00:03:43.400,00:03:55.800
https://www.youtube.com/watch?v=YPvP_C4qy0E,00:04:10.800,00:04:22.600
https://www.youtube.com/watch?v=YPvP_C4qy0E,00:06:19.399,00:06:31.399
https://www.youtube.com/watch?v=VRAlpK8IGLE,00:01:13.198,00:01:22.165
https://www.youtube.com/watch?v=VRAlpK8IGLE,00:01:51.986,00:02:01.579
https://www.youtube.com/watch?v=VRAlpK8IGLE,00:02:42.453,00:02:50.378
https://www.youtube.com/watch?v=VRAlpK8IGLE,00:02:59.554,00:03:07.478
https://www.youtube.com/watch?v=VRAlpK8IGLE,00:03:34.589,00:03:45.642
https://www.youtube.com/watch?v=VRAlpK8IGLE,00:03:58.988,00:04:09.624
https://www.youtube.com/watch?v=VRAlpK8IGLE,00:04:36.526,00:05:03.428
https://www.youtube.com/watch?v=E3Yo7PULlPs,00:01:50.357,00:01:57.036
https://www.youtube.com/watch?v=E3Yo7PULlPs,00:10:14.565,00:10:23.747
https://www.youtube.com/watch?v=E3Yo7PULlPs,00:10:41.111,00:10:50.460
https://www.youtube.com/watch?v=E3Yo7PULlPs,00:13:00.018,00:13:09.535
https://www.youtube.com/watch?v=E3Yo7PULlPs,00:14:00.623,00:14:07.468
https://www.youtube.com/watch?v=E3Yo7PULlPs,00:15:09.576,00:15:18.425
https://www.youtube.com/watch?v=6kPHnl-RsVI,00:04:55.689,00:05:02.200
https://www.youtube.com/watch?v=6kPHnl-RsVI,00:07:03.915,00:07:12.764
https://www.youtube.com/watch?v=6kPHnl-RsVI,00:08:54.277,00:09:00.788
https://www.youtube.com/watch?v=6kPHnl-RsVI,00:10:11.079,00:10:20.930
https://www.youtube.com/watch?v=6kPHnl-RsVI,00:13:36.442,00:13:43.788
https://www.youtube.com/watch?v=6kPHnl-RsVI,00:13:55.309,00:14:01.987
https://www.youtube.com/watch?v=aJVZQqAAlzw,00:06:14.983,00:06:26.837
https://www.youtube.com/watch?v=aJVZQqAAlzw,00:12:38.314,00:12:46.161
https://www.youtube.com/watch?v=aJVZQqAAlzw,00:13:34.745,00:13:42.592
https://www.youtube.com/watch?v=aJVZQqAAlzw,00:13:51.775,00:13:59.955
https://www.youtube.com/watch?v=aJVZQqAAlzw,00:14:49.207,00:14:58.724
https://www.youtube.com/watch?v=aJVZQqAAlzw,00:15:22.933,00:15:29.277
https://www.youtube.com/watch?v=lKsvLGdoIH8,00:03:51.272,00:04:01.491
https://www.youtube.com/watch?v=ooMXEwl7N8Y,00:03:45.899,00:03:57.586
https://www.youtube.com/watch?v=ooMXEwl7N8Y,00:05:55.127,00:06:03.642
https://www.youtube.com/watch?v=ooMXEwl7N8Y,00:07:47.826,00:07:54.504
https://www.youtube.com/watch?v=ooMXEwl7N8Y,00:07:55.506,00:08:03.020
https://www.youtube.com/watch?v=ooMXEwl7N8Y,00:08:26.227,00:08:37.080
https://www.youtube.com/watch?v=ooMXEwl7N8Y,00:09:54.216,00:10:03.900
https://www.youtube.com/watch?v=ooMXEwl7N8Y,00:11:17.196,00:11:23.540
https://www.youtube.com/watch?v=ooMXEwl7N8Y,00:14:55.081,00:15:01.759
https://www.youtube.com/watch?v=QXGTNROtJkY,00:03:21.569,00:03:29.585
